;AAPL;JPM;
2020-01-14T00:00:00.000000000;78.17;60.63;[][]
2020-01-15T00:00:00.000000000;77.83;58.89;[][]
2020-01-16T00:00:00.000000000;78.81;58.44;[][]
2020-01-17T00:00:00.000000000;79.68;58.52;[][]
2020-01-21T00:00:00.000000000;79.14;57.7;[][]
2020-01-22T00:00:00.000000000;79.43;57.25;[][]
2020-01-23T00:00:00.000000000;79.81;56.73;[][]
2020-01-24T00:00:00.000000000;79.58;53.57;[][]
2020-01-27T00:00:00.000000000;77.24;54.79;[][]
2020-01-28T00:00:00.000000000;79.42;55.01;[][]
2020-01-29T00:00:00.000000000;81.08;53.14;[][]
2020-01-30T00:00:00.000000000;80.97;54.92;[][]
2020-01-31T00:00:00.000000000;77.38;54.98;[][]
2020-02-03T00:00:00.000000000;77.17;56.2;[][]
2020-02-04T00:00:00.000000000;79.71;55.58;[][]
2020-02-05T00:00:00.000000000;80.36;57.23;[][]
2020-02-06T00:00:00.000000000;81.3;56.31;[][]
2020-02-07T00:00:00.000000000;80.01;57.16;[][]
2020-02-10T00:00:00.000000000;80.39;57.35;[][]
2020-02-11T00:00:00.000000000;79.9;58.1;[][]
2020-02-12T00:00:00.000000000;81.8;56.2;[][]
2020-02-13T00:00:00.000000000;81.22;56.66;[][]
2020-02-14T00:00:00.000000000;81.24;56.22;[][]
2020-02-18T00:00:00.000000000;79.75;55.89;[][]
2020-02-19T00:00:00.000000000;80.9;56.59;[][]
2020-02-20T00:00:00.000000000;80.07;57.42;[][]
2020-02-21T00:00:00.000000000;78.26;57.55;[][]
2020-02-24T00:00:00.000000000;74.54;57.62;[][]
2020-02-25T00:00:00.000000000;72.02;54.24;[][]
2020-02-26T00:00:00.000000000;73.16;53.48;[][]
2020-02-27T00:00:00.000000000;68.38;52.99;[][]
2020-02-28T00:00:00.000000000;68.34;47.77;[][]
2020-03-02T00:00:00.000000000;74.7;46.82;[][]
2020-03-03T00:00:00.000000000;72.33;44.63;[][]
2020-03-04T00:00:00.000000000;75.68;44.17;[][]
2020-03-05T00:00:00.000000000;73.23;40.74;[][]
2020-03-06T00:00:00.000000000;72.26;35.82;[][]
2020-03-09T00:00:00.000000000;66.54;26.9;[][]
2020-03-10T00:00:00.000000000;71.33;29.36;[][]
2020-03-11T00:00:00.000000000;68.86;27.1;[][]
2020-03-12T00:00:00.000000000;62.06;25.99;[][]
2020-03-13T00:00:00.000000000;69.49;34.42;[][]
2020-03-16T00:00:00.000000000;60.55;27.81;[][]
2020-03-17T00:00:00.000000000;63.22;30.55;[][]
2020-03-18T00:00:00.000000000;61.67;22.22;[][]
2020-03-19T00:00:00.000000000;61.19;24.11;[][]
2020-03-20T00:00:00.000000000;57.31;26.19;[][]
2020-03-23T00:00:00.000000000;56.09;22.94;[][]
2020-03-24T00:00:00.000000000;61.72;26.71;[][]
2020-03-25T00:00:00.000000000;61.38;30.35;[][]
2020-03-26T00:00:00.000000000;64.61;33.51;[][]
2020-03-27T00:00:00.000000000;61.94;29.19;[][]
2020-03-30T00:00:00.000000000;63.7;29.8;[][]
2020-03-31T00:00:00.000000000;63.57;26.46;[][]
2020-04-01T00:00:00.000000000;60.23;24.13;[][]
2020-04-02T00:00:00.000000000;61.23;26.28;[][]
2020-04-03T00:00:00.000000000;60.35;23.7;[][]
2020-04-06T00:00:00.000000000;65.62;23.84;[][]
2020-04-07T00:00:00.000000000;64.86;25.78;[][]
2020-04-08T00:00:00.000000000;66.52;27.78;[][]
2020-04-09T00:00:00.000000000;67.0;35.76;[][]
2020-04-13T00:00:00.000000000;68.31;29.88;[][]
2020-04-14T00:00:00.000000000;71.76;23.74;[][]
2020-04-15T00:00:00.000000000;71.11;19.68;[][]
2020-04-16T00:00:00.000000000;71.67;15.66;[][]
2020-04-17T00:00:00.000000000;70.7;24.48;[][]
2020-04-20T00:00:00.000000000;69.23;22.48;[][]
2020-04-21T00:00:00.000000000;67.09;21.96;[][]
2020-04-22T00:00:00.000000000;69.03;20.31;[][]
2020-04-23T00:00:00.000000000;68.76;20.63;[][]
2020-04-24T00:00:00.000000000;70.74;19.97;[][]
2020-04-27T00:00:00.000000000;70.79;23.83;[][]
2020-04-28T00:00:00.000000000;69.64;25.65;[][]
2020-04-29T00:00:00.000000000;71.93;25.93;[][]
2020-04-30T00:00:00.000000000;73.45;22.31;[][]
2020-05-01T00:00:00.000000000;72.27;20.98;[][]
2020-05-04T00:00:00.000000000;73.29;18.85;[][]
2020-05-05T00:00:00.000000000;74.39;17.61;[][]
2020-05-06T00:00:00.000000000;75.16;15.11;[][]
2020-05-07T00:00:00.000000000;75.93;15.28;[][]
2020-05-08T00:00:00.000000000;77.53;15.17;[][]
2020-05-11T00:00:00.000000000;78.75;11.22;[][]
2020-05-12T00:00:00.000000000;77.85;9.18;[][]
2020-05-13T00:00:00.000000000;76.91;7.12;[][]
2020-05-14T00:00:00.000000000;77.39;10.13;[][]
2020-05-15T00:00:00.000000000;76.93;8.97;[][]
2020-05-18T00:00:00.000000000;78.74;11.71;[][]
2020-05-19T00:00:00.000000000;78.29;10.38;[][]
2020-05-20T00:00:00.000000000;79.81;11.52;[][]
2020-05-21T00:00:00.000000000;79.21;10.96;[][]
2020-05-22T00:00:00.000000000;79.72;9.75;[][]
2020-05-26T00:00:00.000000000;79.18;16.64;[][]
2020-05-27T00:00:00.000000000;79.53;21.84;[][]
2020-05-28T00:00:00.000000000;79.56;20.3;[][]
2020-05-29T00:00:00.000000000;79.49;17.82;[][]
2020-06-01T00:00:00.000000000;80.46;18.14;[][]
2020-06-02T00:00:00.000000000;80.83;18.1;[][]
2020-06-03T00:00:00.000000000;81.28;22.99;[][]
2020-06-04T00:00:00.000000000;80.58;25.86;[][]
2020-06-05T00:00:00.000000000;82.88;28.36;[][]
2020-06-08T00:00:00.000000000;83.36;30.08;[][]
2020-06-09T00:00:00.000000000;86.0;24.54;[][]
2020-06-10T00:00:00.000000000;88.21;17.85;[][]
2020-06-11T00:00:00.000000000;83.97;13.24;[][]
2020-06-12T00:00:00.000000000;84.7;15.17;[][]
2020-06-15T00:00:00.000000000;85.75;15.5;[][]
2020-06-16T00:00:00.000000000;88.02;14.04;[][]
2020-06-17T00:00:00.000000000;87.9;11.58;[][]
2020-06-18T00:00:00.000000000;87.93;11.01;[][]
2020-06-19T00:00:00.000000000;87.43;10.38;[][]
2020-06-22T00:00:00.000000000;89.72;7.03;[][]
2020-06-23T00:00:00.000000000;91.63;6.3;[][]
2020-06-24T00:00:00.000000000;90.01;4.65;[][]
2020-06-25T00:00:00.000000000;91.21;6.75;[][]
2020-06-26T00:00:00.000000000;88.41;4.18;[][]
2020-06-29T00:00:00.000000000;90.44;2.56;[][]
2020-06-30T00:00:00.000000000;91.2;2.86;[][]
2020-07-01T00:00:00.000000000;91.03;2.23;[][]
2020-07-02T00:00:00.000000000;91.03;1.63;[][]
2020-07-06T00:00:00.000000000;93.46;1.54;[][]
2020-07-07T00:00:00.000000000;93.17;-0.85;[][]
2020-07-08T00:00:00.000000000;95.34;-2.04;[][]
2020-07-09T00:00:00.000000000;95.75;-4.47;[][]
2020-07-10T00:00:00.000000000;95.92;0.35;[][]
2020-07-13T00:00:00.000000000;95.48;2.17;[][]
2020-07-14T00:00:00.000000000;97.06;1.15;[][]
2020-07-15T00:00:00.000000000;97.72;2.01;[][]
2020-07-16T00:00:00.000000000;96.52;3.49;[][]
2020-07-17T00:00:00.000000000;96.33;1.83;[][]
2020-07-20T00:00:00.000000000;98.36;-1.06;[][]
2020-07-21T00:00:00.000000000;97.0;2.41;[][]
2020-07-22T00:00:00.000000000;97.27;1.42;[][]
2020-07-23T00:00:00.000000000;92.85;6.14;[][]
2020-07-24T00:00:00.000000000;92.61;5.67;[][]
2020-07-27T00:00:00.000000000;94.81;2.09;[][]
2020-07-28T00:00:00.000000000;93.25;4.07;[][]
2020-07-29T00:00:00.000000000;95.04;4.64;[][]
2020-07-30T00:00:00.000000000;96.19;0.83;[][]
2020-07-31T00:00:00.000000000;106.26;-9.62;[][]
2020-08-03T00:00:00.000000000;108.94;-12.84;[][]
2020-08-04T00:00:00.000000000;109.67;-14.11;[][]
2020-08-05T00:00:00.000000000;110.06;-12.85;[][]
2020-08-06T00:00:00.000000000;113.9;-16.66;[][]
2020-08-07T00:00:00.000000000;111.11;-11.73;[][]
2020-08-10T00:00:00.000000000;112.73;-12.09;[][]
2020-08-11T00:00:00.000000000;109.38;-5.56;[][]
2020-08-12T00:00:00.000000000;113.01;-10.07;[][]
2020-08-13T00:00:00.000000000;115.01;-12.64;[][]
2020-08-14T00:00:00.000000000;114.91;-12.5;[][]
2020-08-17T00:00:00.000000000;114.61;-14.9;[][]
2020-08-18T00:00:00.000000000;115.56;-17.24;[][]
2020-08-19T00:00:00.000000000;115.71;-17.16;[][]
2020-08-20T00:00:00.000000000;118.28;-20.9;[][]
2020-08-21T00:00:00.000000000;124.37;-27.05;[][]
2020-08-24T00:00:00.000000000;125.86;-25.8;[][]
2020-08-25T00:00:00.000000000;124.82;-24.32;[][]
2020-08-26T00:00:00.000000000;126.52;-27.43;[][]
2020-08-27T00:00:00.000000000;125.01;-22.66;[][]
2020-08-28T00:00:00.000000000;124.81;-22.04;[][]
2020-08-31T00:00:00.000000000;129.04;-28.85;[][]
2020-09-01T00:00:00.000000000;134.18;-34.04;[][]
2020-09-02T00:00:00.000000000;131.4;-29.75;[][]
2020-09-03T00:00:00.000000000;120.88;-19.55;[][]
2020-09-04T00:00:00.000000000;120.96;-17.44;[][]
2020-09-08T00:00:00.000000000;112.82;-12.9;[][]
2020-09-09T00:00:00.000000000;117.32;-16.45;[][]
2020-09-10T00:00:00.000000000;113.49;-13.66;[][]
2020-09-11T00:00:00.000000000;112.0;-10.93;[][]
2020-09-14T00:00:00.000000000;115.36;-12.89;[][]
2020-09-15T00:00:00.000000000;115.54;-16.26;[][]
2020-09-16T00:00:00.000000000;112.13;-12.43;[][]
2020-09-17T00:00:00.000000000;110.34;-11.78;[][]
2020-09-18T00:00:00.000000000;106.84;-8.49;[][]
2020-09-21T00:00:00.000000000;110.08;-14.77;[][]
2020-09-22T00:00:00.000000000;111.81;-17.54;[][]
2020-09-23T00:00:00.000000000;107.12;-14.38;[][]
2020-09-24T00:00:00.000000000;108.22;-15.56;[][]
2020-09-25T00:00:00.000000000;112.28;-18.81;[][]
2020-09-28T00:00:00.000000000;114.96;-18.8;[][]
2020-09-29T00:00:00.000000000;114.09;-18.74;[][]
2020-09-30T00:00:00.000000000;115.81;-19.54;[][]
2020-10-01T00:00:00.000000000;116.79;-19.82;[][]
2020-10-02T00:00:00.000000000;113.02;-15.13;[][]
2020-10-05T00:00:00.000000000;116.5;-17.46;[][]
2020-10-06T00:00:00.000000000;113.16;-15.14;[][]
2020-10-07T00:00:00.000000000;115.08;-15.35;[][]
2020-10-08T00:00:00.000000000;114.97;-13.19;[][]
2020-10-09T00:00:00.000000000;116.97;-15.77;[][]
2020-10-12T00:00:00.000000000;124.4;-21.96;[][]
2020-10-13T00:00:00.000000000;121.1;-20.32;[][]
2020-10-14T00:00:00.000000000;121.19;-20.97;[][]
2020-10-15T00:00:00.000000000;120.71;-18.99;[][]
2020-10-16T00:00:00.000000000;119.02;-17.51;[][]
2020-10-19T00:00:00.000000000;115.98;-16.18;[][]
2020-10-20T00:00:00.000000000;117.51;-17.14;[][]
2020-10-21T00:00:00.000000000;116.87;-17.5;[][]
2020-10-22T00:00:00.000000000;115.75;-12.87;[][]
2020-10-23T00:00:00.000000000;115.04;-11.23;[][]
2020-10-26T00:00:00.000000000;115.05;-13.81;[][]
2020-10-27T00:00:00.000000000;116.6;-17.27;[][]
2020-10-28T00:00:00.000000000;111.2;-14.66;[][]
2020-10-29T00:00:00.000000000;115.32;-18.15;[][]
2020-10-30T00:00:00.000000000;108.86;-10.82;[][]
2020-11-02T00:00:00.000000000;108.77;-8.52;[][]
2020-11-03T00:00:00.000000000;110.44;-7.03;[][]
2020-11-04T00:00:00.000000000;114.95;-14.7;[][]
2020-11-05T00:00:00.000000000;119.03;-14.68;[][]
2020-11-06T00:00:00.000000000;118.69;-15.73;[][]
2020-11-09T00:00:00.000000000;116.32;0.58;[][]
2020-11-10T00:00:00.000000000;115.97;0.55;[][]
2020-11-11T00:00:00.000000000;119.49;-4.71;[][]
2020-11-12T00:00:00.000000000;119.21;-5.84;[][]
2020-11-13T00:00:00.000000000;119.26;-5.18;[][]
2020-11-16T00:00:00.000000000;120.3;-3.0;[][]
2020-11-17T00:00:00.000000000;119.39;-3.28;[][]
2020-11-18T00:00:00.000000000;118.03;-2.78;[][]
2020-11-19T00:00:00.000000000;118.64;-3.08;[][]
2020-11-20T00:00:00.000000000;117.34;-2.77;[][]
2020-11-23T00:00:00.000000000;113.85;4.02;[][]
2020-11-24T00:00:00.000000000;115.17;8.15;[][]
2020-11-25T00:00:00.000000000;116.03;6.0;[][]
2020-11-27T00:00:00.000000000;116.59;4.63;[][]
2020-11-30T00:00:00.000000000;119.05;-1.17;[][]
2020-12-01T00:00:00.000000000;122.72;-2.98;[][]
2020-12-02T00:00:00.000000000;123.08;-1.04;[][]
2020-12-03T00:00:00.000000000;122.94;-1.7;[][]
2020-12-04T00:00:00.000000000;122.25;0.09;[][]
2020-12-07T00:00:00.000000000;123.75;-1.87;[][]
2020-12-08T00:00:00.000000000;124.38;-2.38;[][]
2020-12-09T00:00:00.000000000;121.78;-0.73;[][]
2020-12-10T00:00:00.000000000;123.24;-2.97;[][]
2020-12-11T00:00:00.000000000;122.41;-2.85;[][]
2020-12-14T00:00:00.000000000;121.78;-3.48;[][]
2020-12-15T00:00:00.000000000;127.88;-7.56;[][]
2020-12-16T00:00:00.000000000;127.81;-7.14;[][]
2020-12-17T00:00:00.000000000;128.7;-9.03;[][]
2020-12-18T00:00:00.000000000;126.66;-7.58;[][]
2020-12-21T00:00:00.000000000;128.23;-4.68;[][]
2020-12-22T00:00:00.000000000;131.88;-10.21;[][]
2020-12-23T00:00:00.000000000;130.96;-5.89;[][]
2020-12-24T00:00:00.000000000;131.97;-7.45;[][]
2020-12-28T00:00:00.000000000;136.69;-11.35;[][]
2020-12-29T00:00:00.000000000;134.87;-9.86;[][]
2020-12-30T00:00:00.000000000;133.72;-8.36;[][]
2020-12-31T00:00:00.000000000;132.69;-5.62;[][]
2021-01-04T00:00:00.000000000;129.41;-3.54;[][]
2021-01-05T00:00:00.000000000;131.01;-5.36;[][]
2021-01-06T00:00:00.000000000;126.6;4.95;[][]
2021-01-07T00:00:00.000000000;130.92;4.95;[][]
2021-01-08T00:00:00.000000000;132.05;3.97;[][]
2021-01-11T00:00:00.000000000;128.98;9.07;[][]
2021-01-12T00:00:00.000000000;128.8;11.42;[][]
2021-01-13T00:00:00.000000000;130.89;9.46;[][]
